"REGIONE";"COLLEGIO";"PROVINCIA";"COMUNE";"ELETTORI_TOTALI";"ELETTORI_MASCHI";"VOTANTI_TOTALI";"VOTANTI_MASCHI";"SCHEDE_BIANCHE";"LISTA";"VOTI_LISTA"
"TRENTINO ALTO ADIGE";"TRENTO";"TRENTO";"SOVER";"655";;"536";"266";"19";"SVP - INSIEME PER LE AUTONOMIE";"180"
"TRENTINO ALTO ADIGE";"PERGINE VALSUGANA";"TRENTO";"SPERA";"425";;"381";"181";"10";"SVP - INSIEME PER LE AUTONOMIE";"165"
"TRENTINO ALTO ADIGE";"ROVERETO";"TRENTO";"SPIAZZO";"850";;"697";"340";"23";"SVP - INSIEME PER LE AUTONOMIE";"191"
"TRENTINO ALTO ADIGE";"TRENTO";"TRENTO";"SPORMAGGIORE";"800";;"702";"369";"12";"SVP - INSIEME PER LE AUTONOMIE";"261"
"TRENTINO ALTO ADIGE";"TRENTO";"TRENTO";"SPORMINORE";"509";;"447";"227";"21";"SVP - INSIEME PER LE AUTONOMIE";"192"
"TRENTINO ALTO ADIGE";"ROVERETO";"TRENTO";"STENICO";"797";;"658";"328";"22";"SVP - INSIEME PER LE AUTONOMIE";"250"
"TRENTINO ALTO ADIGE";"ROVERETO";"TRENTO";"STORO";"3266";;"2788";"1360";"99";"SVP - INSIEME PER LE AUTONOMIE";"879"
"TRENTINO ALTO ADIGE";"ROVERETO";"TRENTO";"STREMBO";"361";;"294";"146";"15";"SVP - INSIEME PER LE AUTONOMIE";"81"
"TRENTINO ALTO ADIGE";"PERGINE VALSUGANA";"TRENTO";"STRIGNO";"1026";;"818";"410";"23";"SVP - INSIEME PER LE AUTONOMIE";"379"
"TRENTINO ALTO ADIGE";"TRENTO";"TRENTO";"TAIO";"1868";;"1633";"824";"43";"SVP - INSIEME PER LE AUTONOMIE";"641"
"TRENTINO ALTO ADIGE";"TRENTO";"TRENTO";"TASSULLO";"1321";;"1098";"538";"43";"SVP - INSIEME PER LE AUTONOMIE";"436"
"TRENTINO ALTO ADIGE";"PERGINE VALSUGANA";"TRENTO";"TELVE";"1381";;"1161";"553";"25";"SVP - INSIEME PER LE AUTONOMIE";"538"
"TRENTINO ALTO ADIGE";"PERGINE VALSUGANA";"TRENTO";"TELVE DI SOPRA";"444";;"386";"187";"10";"SVP - INSIEME PER LE AUTONOMIE";"188"
"TRENTINO ALTO ADIGE";"PERGINE VALSUGANA";"TRENTO";"TENNA";"688";;"579";"290";"15";"SVP - INSIEME PER LE AUTONOMIE";"180"
"TRENTINO ALTO ADIGE";"ROVERETO";"TRENTO";"TENNO";"1376";;"1158";"581";"19";"SVP - INSIEME PER LE AUTONOMIE";"475"
"TRENTINO ALTO ADIGE";"TRENTO";"TRENTO";"TERLAGO";"1216";;"1063";"538";"26";"SVP - INSIEME PER LE AUTONOMIE";"404"
"TRENTINO ALTO ADIGE";"ROVERETO";"TRENTO";"TERRAGNOLO";"601";;"479";"257";"13";"SVP - INSIEME PER LE AUTONOMIE";"193"
"TRENTINO ALTO ADIGE";"TRENTO";"TRENTO";"TERRES";"227";;"203";"92";"9";"SVP - INSIEME PER LE AUTONOMIE";"100"
"TRENTINO ALTO ADIGE";"TRENTO";"TRENTO";"TERZOLAS";"448";;"401";"197";"8";"SVP - INSIEME PER LE AUTONOMIE";"141"
"TRENTINO ALTO ADIGE";"PERGINE VALSUGANA";"TRENTO";"TESERO";"1962";;"1562";"752";"46";"SVP - INSIEME PER LE AUTONOMIE";"363"
"TRENTINO ALTO ADIGE";"ROVERETO";"TRENTO";"TIARNO DI SOPRA";"655";;"559";"271";"8";"SVP - INSIEME PER LE AUTONOMIE";"177"
"TRENTINO ALTO ADIGE";"ROVERETO";"TRENTO";"TIARNO DI SOTTO";"483";;"407";"201";"13";"SVP - INSIEME PER LE AUTONOMIE";"169"
"TRENTINO ALTO ADIGE";"ROVERETO";"TRENTO";"TIONE DI TRENTO";"2510";;"2104";"996";"59";"SVP - INSIEME PER LE AUTONOMIE";"612"
"TRENTINO ALTO ADIGE";"TRENTO";"TRENTO";"TON";"903";;"748";"398";"35";"SVP - INSIEME PER LE AUTONOMIE";"256"
"TRENTINO ALTO ADIGE";"PERGINE VALSUGANA";"TRENTO";"TONADICO";"1024";;"830";"405";"12";"SVP - INSIEME PER LE AUTONOMIE";"287"
