"REGIONE";"LISTA";"VOTILISTA";"SEGGILISTA"
"TOSCANA";"IL POPOLO DELLA FAMIGLIA";10037,00;0,00
"TOSCANA";"ITALIA AGLI ITALIANI";8618,00;0,00
"TOSCANA";"PARTITO COMUNISTA";19052,00;0,00
"TOSCANA";"PER UNA SINISTRA RIVOLUZIONARIA";3406,00;0,00
"UMBRIA";"LEGA";96080,00;1,00
"UMBRIA";"FORZA ITALIA";55131,00;1,00
"UMBRIA";"FRATELLI D'ITALIA CON GIORGIA MELONI";23115,00;0,00
"UMBRIA";"NOI CON L'ITALIA - UDC";2200,00;0,00
"UMBRIA";"MOVIMENTO 5 STELLE";128101,00;1,00
"UMBRIA";"PARTITO DEMOCRATICO";120714,00;2,00
"UMBRIA";"+EUROPA";8008,00;0,00
"UMBRIA";"ITALIA EUROPA INSIEME";1694,00;0,00
"UMBRIA";"CIVICA POPOLARE LORENZIN";1678,00;0,00
"UMBRIA";"LIBERI E UGUALI";14204,00;0,00
"UMBRIA";"POTERE AL POPOLO!";5825,00;0,00
"UMBRIA";"CASAPOUND ITALIA";5470,00;0,00
"UMBRIA";"IL POPOLO DELLA FAMIGLIA";3718,00;0,00
"UMBRIA";"ITALIA AGLI ITALIANI";2220,00;0,00
"UMBRIA";"PARTITO COMUNISTA";4099,00;0,00
"UMBRIA";"PARTITO VALORE UMANO";1064,00;0,00
"UMBRIA";"PARTITO REPUBBLICANO ITALIANO - ALA";442,00;0,00
"MARCHE";"LEGA";144623,00;1,00
"MARCHE";"FORZA ITALIA";81485,00;1,00
"MARCHE";"FRATELLI D'ITALIA CON GIORGIA MELONI";37758,00;0,00
"MARCHE";"NOI CON L'ITALIA - UDC";7096,00;0,00
"MARCHE";"MOVIMENTO 5 STELLE";289374,00;2,00
"MARCHE";"PARTITO DEMOCRATICO";180032,00;1,00
"MARCHE";"+EUROPA";14450,00;0,00
"MARCHE";"ITALIA EUROPA INSIEME";4126,00;0,00
"MARCHE";"CIVICA POPOLARE LORENZIN";2936,00;0,00
"MARCHE";"LIBERI E UGUALI";23117,00;0,00
"MARCHE";"POTERE AL POPOLO!";7684,00;0,00
"MARCHE";"CASAPOUND ITALIA";7669,00;0,00
"MARCHE";"IL POPOLO DELLA FAMIGLIA";7066,00;0,00
"MARCHE";"ITALIA AGLI ITALIANI";4546,00;0,00
"MARCHE";"PARTITO COMUNISTA";5683,00;0,00
"MARCHE";"PARTITO VALORE UMANO";2137,00;0,00
"MARCHE";"PER UNA SINISTRA RIVOLUZIONARIA";871,00;0,00
"MARCHE";"LISTA DEL POPOLO PER LA COSTITUZIONE";874,00;0,00
"LAZIO";"LEGA";390432,00;3,00
"LAZIO";"FORZA ITALIA";393140,00;3,00
"LAZIO";"FRATELLI D'ITALIA CON GIORGIA MELONI";215072,00;1,00
"LAZIO";"NOI CON L'ITALIA - UDC";21421,00;0,00
"LAZIO";"MOVIMENTO 5 STELLE";937041,00;6,00
"LAZIO";"PARTITO DEMOCRATICO";533174,00;4,00
"LAZIO";"+EUROPA";88395,00;0,00
"LAZIO";"ITALIA EUROPA INSIEME";16629,00;0,00
"LAZIO";"CIVICA POPOLARE LORENZIN";12406,00;0,00
"LAZIO";"LIBERI E UGUALI";103292,00;1,00
"LAZIO";"POTERE AL POPOLO!";42736,00;0,00
"LAZIO";"CASAPOUND ITALIA";41642,00;0,00
"LAZIO";"IL POPOLO DELLA FAMIGLIA";14807,00;0,00
"LAZIO";"ITALIA AGLI ITALIANI";11965,00;0,00
"LAZIO";"PARTITO COMUNISTA";15873,00;0,00
"LAZIO";"PER UNA SINISTRA RIVOLUZIONARIA";3392,00;0,00
"LAZIO";"PARTITO REPUBBLICANO ITALIANO - ALA";2414,00;0,00
"LAZIO";"LISTA DEL POPOLO PER LA COSTITUZIONE";2391,00;0,00
"LAZIO";"DEMOCRAZIA CRISTIANA";5532,00;0,00
"ABRUZZO";"LEGA";97730,00;1,00
"ABRUZZO";"FORZA ITALIA";110844,00;1,00
"ABRUZZO";"FRATELLI D'ITALIA CON GIORGIA MELONI";32444,00;0,00
"ABRUZZO";"NOI CON L'ITALIA - UDC";12871,00;0,00
"ABRUZZO";"MOVIMENTO 5 STELLE";274185,00;2,00
"ABRUZZO";"PARTITO DEMOCRATICO";98361,00;1,00
"ABRUZZO";"+EUROPA";10803,00;0,00
"ABRUZZO";"ITALIA EUROPA INSIEME";3167,00;0,00
"ABRUZZO";"CIVICA POPOLARE LORENZIN";10721,00;0,00
"ABRUZZO";"LIBERI E UGUALI";17826,00;0,00
"ABRUZZO";"POTERE AL POPOLO!";8211,00;0,00
"ABRUZZO";"CASAPOUND ITALIA";6442,00;0,00
"ABRUZZO";"IL POPOLO DELLA FAMIGLIA";5325,00;0,00
"ABRUZZO";"ITALIA AGLI ITALIANI";3215,00;0,00
"ABRUZZO";"PARTITO COMUNISTA";4358,00;0,00
"ABRUZZO";"PARTITO VALORE UMANO";1214,00;0,00
"MOLISE";"LEGA";13374,00;0,00
"MOLISE";"FORZA ITALIA";25265,00;0,00
"MOLISE";"FRATELLI D'ITALIA CON GIORGIA MELONI";4422,00;0,00
"MOLISE";"NOI CON L'ITALIA - UDC";6233,00;0,00
"MOLISE";"MOVIMENTO 5 STELLE";71067,00;1,00
"MOLISE";"PARTITO DEMOCRATICO";24076,00;0,00
"MOLISE";"+EUROPA";1472,00;0,00
"MOLISE";"ITALIA EUROPA INSIEME";1350,00;0,00
"MOLISE";"CIVICA POPOLARE LORENZIN";1314,00;0,00
"MOLISE";"LIBERI E UGUALI";5962,00;0,00
"MOLISE";"POTERE AL POPOLO!";1847,00;0,00
"MOLISE";"CASAPOUND ITALIA";1427,00;0,00
"MOLISE";"PARTITO COMUNISTA";1216,00;0,00
"MOLISE";"PARTITO VALORE UMANO";608,00;0,00
